Index,Kanji,Keyword,English,Origin,SubOrigin,Mnemonic1,Mnemonic2,Compo,Strokes,Radical,Onyomi,Kunyomi,Ex1Kanji,Ex1Kana,Ex1English,Ex2Kanji,Ex2Kana,Ex2English,Ex3Kanji,Ex3Kana,Ex3English,Ex4Kanji,Ex4Kana,Ex4English
226,合,Fit,"Combine, Join, Fit","The kanji for fit reads literally, top to bottom, as a meeting of mouths&nbsp;- which is a rather descriptive way of speaking of a romantic kiss. We all know what happens when there is no meeting of minds and when people's ideas don't fit&nbsp;with one another. But this kanji invites us to imagine what would happened to the romance of a certain unfortunate couple whose mouths didn't fit.",,"I wouldn´t mind a meeting of mouths with her, she´s really fit !",He had such a big mouth that he could easily fit one whole umbrella in it.,"人: human (亻); umbrella (𠆢) (RTK)　一: one; ceiling, floor (RTK)　口: mouth",6,口,"ゴウ, ガッ-, カッ-","あ.う, -あ.う, あ.い, あい-, -あ.い, -あい, あ.わす, あ.わせる, -あ.わせる",合う,あう,"Fit, come together",合意,ごうい,Mutual agreement (consent],集合する,しゅうごうする,"Gather, assemble; call together",話し合う,はなしあう,"Speak together, talk over"
227,今,Now,"Present, Now, This","The final stroke of this kanji is a rare shape, which we have not met before and will only meet in this character and others that include it as a primitive. We are more accustomed to seeing it straightened out as part of other shapes - for instance, as the second stroke of mouth. If you need any help at all with this character, you may picture it as two hands of a clock pointing to what time it is now. The element above it, meeting, should easily relate to that image.","We shall use clock as the primitive meaning of this character, in line with the above explanation.",My MEETING is at 7- but that´s NOW!,(re: ruuku35) The meeting is not at quarter to seven but now!,今: now; clock (RTK),4,人,"コン, キン",いま,今まで,いままで,"Till now, so far, up to the present",今日,こんにち,"Today, these days",今回,こんかい,This time; lately,今,いま,Now
228,令,Orders,Command,Meeting . . . chop-seal.,,"(re: dingomick) ""These are your orders,"" declares the general while passing out documents at the meeting. As everyone started to leave, the general exclaims ""Oh wait! I need to certify these orders!"" and went around stamping each paper with his personal chop-seal.","These are your orders, declares the general at the meeting as he stamps them with his chop-seal. (Primitive: chop-seal imaged as a papal ring, the one´s they would press into wax as their official seal. Also a cattle brand.).",令: orders,5,人,レイ,,発令,はつれい,Pronouncement,法令,ほうれい,"Laws and ordinances, statute",,,,,,
229,念,Wish,"Thoughts, Mind, Wish",Clock . . . heart.,,Someone wishing from the bottom of their heart that the clock would stop. A mid-life crisis perhaps.,Remember in the Wizard of Oz when the tin man wished for a heart and the wizard gave him that dinky little clock instead?,今: now; clock (RTK)　心: heart; mind (忄; ⺗),8,心,ネン,,念入りな,ねんいりな,"Careful, elaborate",念願,ねんがん,One's heart's desire,,,,,,
230,印,Stamp,Seal; Mark,At last we come to the general character meaning stamp. Its elements: staples . . . stamp.,,"Before sticky backs, they had to staple stamps to letters.","Aaaagh, this old stamp doesn´t stick! Okay I´ll just staple it.",丿: katakana no　丨: line; stick　二: two　卩: seal; stamp; (㔾) fingerprint (RTK),6,卩,イン,"しるし, -じるし",無印,むじるし,"Unbranded, generic",ゴム印,ゴムいん,Rubber stamp,日印,にちいん,"Japan and india, indian-japanese",印,しるし,"Mark, sign"
231,命,Fate,"Order, Command<Div>Life, Fate","This character connotes life in general, but also the particular life that is fated one by virtue of the distinctive character with which one is born. Its elements are: fit . . . stamp. The bottom portion of fit is nudged to the left in order to make room for the stamp.",,"When you´re born, your fate is measured, fitted, and stamped onto your soul. Good luck defying it.",Your ability to resist FATE can be fit on a postage stamp.,"人: human (亻); umbrella (𠆢) (RTK)　一: one; ceiling, floor (RTK)　口: mouth　卩: seal; stamp; (㔾) fingerprint (RTK)",8,口,"メイ, ミョウ",いのち,生命,せいめい,Life,命令,めいれい,"Command, order; edict, decree",命取りの,いのちとりの,"Fatal, deadly",命,いのち,Life
232,亡,Deceased,Deceased,"A top hat hanging on a hook in the front hall, right where the deceased left it the day he died, reminds us of him and his kanji.","In addition to deceased, the primitive meaning of to perish will also be used for this character.",The top hat hanging on a hook belonged to the now deceased Charlie Chaplin.,The recently DECEASED are said to hang their hats on a hook by the door to the afterlife.,亠: roof; hat (RTK)　匚: box; hook (RTK),3,亠,"ボウ, モウ","な.い, な.き-",亡命,ぼうめい,Exile,亡き人,なきひと,The deceased,,,,,,
233,米,Rice,"Rice, America",This kanji has a pictographic resemblance to a number of grains of rice lying on a plate in the shape of a star.,"As a primitive, it keeps its meaning of rice, and is meant to connote a very ordinary, commonplace grain, in contrast to the primitive for wheat that we just learned. (This meaning accords well with Japan, where the output of rice far exceeds that of wheat.)<div>It occasionally takes a different shape when it stands on its own, or is joined to a line above. In this case, we shall have it refer specifically to grains of rice. This primitive is not to be confused with the similar-looking primitive for water. While the stroke orders are nearly alike, grains of rice has 5 strokes, while water only has 4 because it joins the second and third strokes into one.</div><div>Finally, we may note that by itself the kanji for rice is an abbreviation used for the United States, which can then also serve as an alternate reading for the main primitive form, if you so wish.</div>",Stroke order: I like to think of the first two strokes as “chop sticks” with which one eats the rice. The rest then is the “tree” meaning “plant” in this contexct. also: USA.,"Two drops of rice in a tree, simple.",米: rice,6,米,"ベイ, マイ",こめ,米国,べいこく,U.s.a.,白米,はくまい,White (polished] rice,米を作る,こめをつくる,Grow rice,米作,べいさく,Rice crop
234,粒,Grains,Grain,Rice . . . vase.,,"A sage is using rice to fill up a vase, but as an exercise in patience, he´s doing it grain by grain.",There´s a contest...whoever guesses the number of grains of rice in a vase wins.,米: rice　立: stand up; vase (RTK),11,米,リュウ,つぶ,雨粒,あまつぶ,Raindrop,粒子,りゅうし,"Particle, grain",粒,つぶ,"Grain, drop",米粒,こめつぶ,Grain of rice
235,和,Harmony,"Harmonious, Peace, Calm, Japan",Wheat . . . mouth.,,The first step to harmony is having enough wheat to feed every mouth in the world. Once we are all fed it is easier to get a long in harmony.,"People who live in harmony with nature live in the country. they are yokels or hillbillys. See Billy-bob sitting on the porch in their denhim dungarees a sheaf of wheat, sticking from their mouth.",禾: grain; wheat (RTK)　口: mouth,8,口,"ワ, オ","やわ.らぐ, やわ.らげる, なご.む, なご.やか",和やかな,なごやかな,"Peaceful, mild, gentle",和合,わごう,"Harmony, concord; union",大和,やまと,Yamato (old name for japan),和む,なごむ,"Be softened, calm down"
236,私,Private,"Private, I","Wheat . . . elbow. Like the characters for I (Frame 17) and ego (Frame 690), this kanji is also representative of the subject, with the special connotation of privacy.",,"Warning sign: ""Private wheat, trespassers will be elbowed"".","I already know this as watashi, or ""I"". In order to associate the keyword of private, I´ll think of this one as ""Private I"", like a detective.",禾: grain; wheat (RTK)　厶: myself; elbow (RTK),7,禾,シ,"わたくし, わたし",私立,しりつ,"Private, nongovernmental",私の,わたしの,My,私生活,しせいかつ,One's private life,私,わたし,I
237,広,Wide,"Wide, Spacious",Cave . . . elbow.,,The Batcave is very wide and has a lot of elbow room for Batman to do his yoga.,"A wide cave has a lot of ""elbow room"".",广: cave (RTK)　厶: myself; elbow (RTK),5,广,コウ,"ひろ.い, ひろ.まる, ひろ.める, ひろ.がる, ひろ.げる",広大な,こうだいな,"Vast, expansive, grand",本を広げる,ほんをひろげる,Open a book,広がる,ひろがる,"Extend, expand, stretch",広い,ひろい,Wide; spacious
238,細,Dainty,"Slender, Minute",Thread . . . brains.,,Dainty women would always rather work with thread than in a field.,"Spider-Man used to just be a dainty, brainy nerd.",糸: thread; Spider-Man (RTK)　田: rice field; brain (RTK),11,糸,サイ,"ほそ.い, ほそ.る, こま.か, こまか.い",細かい金,こまかいかね,Small change,細い糸,ほそいいと,Fine thread,明細,めいさい,"Particulars, details",細工,さいく,"Work, craftsmanship; artifice, tactics"
239,林,Grove,Forest,Learn this frame in connection with the next one. A grove is a small cluster of trees. Hence the simple reduplication of the kanji for tree gives us the grove.,,A grove has at least two TREEs.,Two tree huggers saying that protecting the environment is grovey man…,木: tree; wood　木: tree; wood,8,木,リン,はやし,林立,りんりつ,Standing in close proximity (as of buildings),雨林,うりん,Rain forest,林,はやし,"Woods, forest",原生林,げんせいりん,Virgin forest
240,森,Forest,Thick Woods,"A forest is a large expanse of trees, or ""trees, trees everywhere,"" to adopt the expression we used back in frames 22 and 23.",,"The higher you go up a mountain the less trees there are, that´s so u dont mess up with their possition like i do.",Another tree planted within a grove turns it into a FOREST.,木: tree; wood　林: grove; forest,12,木,シン,もり,森林,しんりん,"Forest, woodland",森,もり,"Woods, forest",青森,あおもり,Aomori (city and prefecture),,,
241,松,Pine tree,Pine,Tree . . . public.,,"Following up with the ""entering public restrooms"" story for the right-hand primitive: public restrooms always reek of pine tree scented disinfectant.","A pine tree is a public tree: they are frequently planted in public squares, in commemoration of the respect Conficius held for them.",木: tree; wood　公: public; official,8,木,ショウ,まつ,松本,まつもと,Matsumoto (city in nagano prefecture),松原,まつばら,Pine grove,,,,,,
242,竹,Bamboo,Bamboo,"Bamboo grows upwards, like a straight nail, and at each stage of its growth (which legend associates with the arrival of the new moon) there is a jointed rootstock (the first stroke). Two such bamboo stalks are pictured here.","As a primitive, the meaning remains the same, but the vertical lines are severely abbreviated so that they can take their place at the top where, like flowers, they are always to be found.",Pandas like to eat bamboo. I´m using panda as the primitive name when it fits the story. ^__^.,Two reclining victims impaled on bamboo spheres…,竹: bamboo (⺮),6,竹,チク,たけ,竹林,ちくりん,Bamboo grove,竹細工,たけざいく,"Bamboo work, bamboo crafts",竹の子,たけのこ,Bamboo shoots,,,
243,都,Metropolis,"Metropolis, Capital, Metropolis Of Tōkyō",Someone . . . city walls.,,"In a metropolis people are just puppets inside city walls, there is no individuality if you live so close together.","A vision of a futuristic METROPOLIS: standing at the window of your 400th floor apartment, hand in hand with your LOVE DOLL, gazing out at the gigantic CITY WALLS that you can never escape.",者: person; puppet (RTK)　邑: village; city walls (阝),11,邑,"ト, ツ",みやこ,都会,とかい,"City, town",都合,つごう,"Convenience, circumstances; in all, altogether",都,みやこ,Capital,都立,とりつ,"Metropolitan, under control of the tokyo metropolitan government"
244,京,Capital,"Capital, Tōkyō, Kyōto",When we think of a capital&nbsp;city today we think of tall&nbsp;skyscrapers dwarfing the endless swarms of little&nbsp;folk scurrying here and there about their business.,,"Tokyo, capital of Japan: tall buildings, small people (compared to the buildings).","The capital is where the powerful act formal wearing top hats, open their mouths, and get little done.",亠: roof; hat (RTK)　口: mouth　小: little; owl (RTK),8,亠,"キョウ, ケイ",,京都,きょうと,Kyoto,北京,ぺきん,"Beijing, peking",京大,きょうだい,University of kyoto,東京,とうきょう,Tokyo
245,政,Politics,Political Administration,"To the many definitions for politics that already exist, this character offers yet another: correct taskmastering. Think about what the primitives tell us. On the one hand, we see the pessimistic wisdom that politics has to do with taskmastering, maneuvering people with or without their will. And on the other, we see the campaign assurances that this duty can be performed correctly if only the right candidate is given a chance.",,Those involved in politics are always trying to elect the correct taskmaster.,"Insane political correctness on the left, and facists taskmasters on the right- thats politics in a nutshell right there.",正: correct; justice　攵: strike; taskmaster (RTK),9,攴,"セイ, ショウ",まつりごと,行政,ぎょうせい,Administration,家政,かせい,Home economy,,,,,,
246,府,Municipality,"Urban Prefecture (Kyōto Or Ōsaka), Government Office",Cave . . . adhere.,,"A municipality, like any type of government, adheres to having caves for offices (see government office (#591)).","Even if a municipality is in a cave, you have to adhere to its policies.",广: cave (RTK)　付: attach; adhere,8,广,フ,,政府,せいふ,"Government, administration",京都府,きょうとふ,Kyoto prefecture,,,,,,
247,戸,Door,"Door, Household",Ceiling . . . flag.,,"Traditional Japanese storefront doors have several flags, known as ""noren,"" hanging down from a curtain rod in front of them. I see this as a pseudo-pictograph, and use the horizontal line across the top to represent the curtain rod, since noren don´t usually hang from the ceiling.","A Japanese door has a noren, a flag hanging from a rod. (I give this primitive the meaning of a noren-covered door).",戸: door,4,戸,コ,と,戸口,とぐち,"Door, doorway",一戸,いっこ,One house,雨戸,あまど,Shutter,,,
248,所,Place,"Place, Point, Part, Particle Of Nominalization, ""-Ation""",Door . . . ax.,,You outsiders better learn your place! An axe stuck in the door when you get home is a pretty good indicator that this might not be the best place for you.,A place for everything and everything in its place. To the right of the door is the standard place for the axe.,戸: door　斤: axe,8,戸,ショ,"ところ, -ところ, どころ",今の所,いまのところ,At present,長所,ちょうしょ,Strong point,所,ところ,Place,預かり所,あずかりじょ,Cloakroom
249,至,Climax,Come To; Utmost,"Wall . . . soil. The key word allows for the full variety of connotations: to peak, to arrive at the end, and the like.",,Sexual climaxes don´t always happen on the bed; they sometimes happen against a wall or on the ground!,The climax of the Berlin Wall affair was the tearing of it to ground.,"一: one; ceiling, floor (RTK)　厶: myself; elbow (RTK)　土: ground; land; soil",6,至,シ,いた.る,至上,しじょう,Supremacy,至る,いたる,"Come to, reach; lead to",至東京,いたるとうきょう,To tokyo (as on the edge of a map),,,
250,致,Doth,"Bring About, Lead To, Do Humbly","The archaic English form for ""does"" indicates a humble form of the verb ""to do."" It is made up of climax and taskmaster.",,To reach climax I doth the bidding of my dominatrix taskmaster.,"This character is used in two very high-frequency words: ""you are welcome"" (どう致しまして) and the honorific form of onegaishimasu (お願い致します; おねがいいたします). Can´t you just picture this ridiculously polite S&M picture? A businessman, who DOTH the bidding of his taskmistress, is climaxing and yelling out ""お願い致します"" while she whips and says ""どう致しまして"". (This kanji also means ""to bring about"" and ""do humbly"", which is perfect for this image).",至: climax　攵: strike; taskmaster (RTK),10,至,チ,いた.す,お願い致します,おねがいいたします,(i) humbly request,一致,いっち,"Accord, agreement",合致,がっち,"Agreement, concurrence",致命的,ちめいてき,Fatal
251,屋,Roof,"House; Roof, Small Shop","Flag . . . climax. Note that this kanji has no relation to the drawing of a ""roof"" used in the primitive for house.",,Flag at the climax (highest point) of a castle roof.,"A couple climaxing on the roof, draped in the American flag. The neighbors are mortified and call the landlady...",尸: corpse; flag (RTK)　至: climax,9,尸,オク,や,肉屋,にくや,"Butcher shop, butcher",家屋,かおく,"House, building",本屋,ほんや,Bookstore,魚屋,さかなや,Fish shop
252,室,Room,"Room, Chamber",House . . . climax.,,"You book a room in a love hotel called ""Climax House"".","A simple room is made up of a roof, some walls, and a dirt floor.",宀: house (RTK)　至: climax,9,宀,シツ,むろ,室内,しつない,Indoors,皇室,こうしつ,Imperial family (household],温室,おんしつ,Greenhouse,和室,わしつ,Japanese style room
253,古,Old,Old,"The primitive elements that compose this character are ten and mouth, but you may find it easier to remember it as a pictograph of a tombstone with a cross on top. Just think back to one of those graveyards you have visited, or better still, used to play in as a child, with old inscriptions on the tombstones. This departure from the primitive elements in favor of a pictograph will take place now and again at these early stages, and almost never after that. So you need not worry about cluttering up your memory with too many character ""drawings.""","Used as a primitive element, this kanji keeps its key-word sense of old, but care should be taken to make that abstract notion as graphic as possible.",Tombstone and cross on an old man´s grave.,You get OLD fast if you have ten open mouths to feed.,十: ten; cross; needle (RTK)　口: mouth,5,口,コ,"ふる.い, ふる-, -ふる.す",古本屋,ふるほんや,Used book store,古い,ふるい,Old (for things),中古,ちゅうこ,Second hand,古代,こだい,Ancient times
254,居,Reside,"Be Present, Reside",Flag . . . old. Do not confuse with dwell (Frame 1027).,,A humongous American flag in Florida marks the place where all the old people reside.,"It is an old tradition that people plant a flag on places where decide to reside; this tradition still goes on: Antarctica, the moon: flags all over the place! cf. set (#1064).",尸: corpse; flag (RTK)　古: old,8,尸,キョ,"い.る, -い, お.る*",居る,いる,"Be present, be home",別居する,べっきょする,Live separately,同居する,どうきょする,Live together,皇居,こうきょ,Imperial palace
255,局,Bureau,"Bureau, Office, Limited Part, Locality, Situation",Flag . . . phrase. Note how the flag's long stroke doubles up for the first stroke of phrase.,,The Federal Bureau of Investigation has email scanners that flag certain phrases.,They do nothing at the bureau other than repeating the stupid catchphrase they have on their flag.,尸: corpse; flag (RTK)　句: phrase,7,尸,キョク,,当局,とうきょく,The authorities concerned,政局,せいきょく,Political situation,局部,きょくぶ,"Limited part, localized area",,,
256,故,Happenstance,"Old; The Late, Incident, Reason, Cause","Call it fate or providence or plain old Lady Luck, happenstance is the oldest taskmaster we know. It nearly always has its way.",,An OLD TASKMASTER is no happenstance (coincidence). The older you get the more rigid in your ways.,Need to disambiguate from enemy (#443) as it´s easy to mix up antique and old here. Let´s think of an accidental president -- he is an old taskmaster who has managed to win the election by happenstance .,古: old　攵: strike; taskmaster (RTK),9,攴,コ,ゆえ,故に,ゆえに,"Therefore, accordingly",故事,こじ,"Tradition; historical fact, origin",事故,じこ,"Accident, incident, trouble",,,
257,胡,Natives Of Ancient China,Natives Of Ancient China,,,,,古: old　月: moon; month,,,"コ, ゴ, ウ",,胡国,ここく,Ancient countries in the north or west of china; barbarous country,胡瓜,きゅうり,Cucumber,,,,,,
258,湖,Lake,Lake,"Water . . . old . . . flesh. You have heard of legends of people being abandoned in the mountains when they had become too old to work. Well, here is a legend about people being set adrift in the waters of a stormy lake because their flesh had gotten too old to bear the burdens of life.",,"This is my favorite story. Simply associate the sad moment of an OLD person, standing near the WATER of the lake and looking at the MOON reflected in the lake. The created primitives themselves are put so beautifully, that you will not forget this kanji.",Water reflects the old moon in the lake.,水: water (氵) (氺)　古: old　肉: meat; flesh (RTK) (月),12,水,コ,みずうみ,湖,みずうみ,Lake,五大湖,ごだいこ,"The great lakes (lakes superior, michigan, huron, ontario and erie)",,,,,,
259,固,Harden,"Solid, Firm",Old . . . pent in. Leave the people out of your story to avoid complications later when we add the element for person to form a new kanji (Frame 1047).,,Fossils are old things pent in that have hardened.,"Remember Metapod from Pokemon? All it used was harden, which kept it pent in until it grew old enough to evolve into Butterfree..",古: old　囗: box; pent in (RTK),8,囗,コ,"かた.める, かた.まる, かた.まり, かた.い",固い,かたい,"Firm, stiff, fast",固体,こたい,"Solid, solid matter",固める,かためる,"(vt] harden, solidify; strengthen",固定,こてい,"Fixed, stationary"
260,箇,Item,Counter For Items; Item,,,"Dragon Quest - You find a hardened bamboo stick, perfect for a weapon, but you can´t pick it up because your items are full.","You´ve entered in a chinese shop where apparently the only item in sale is old, dusty, hardened bamboo (for construction for example). It looks like these items have been there forever. Asking the clerk if anything else is available, he doesn´t understand and instead asks - ""Two items? Three items?"" (the kanji is a counter for items) - thinking you want to buy something.",竹: bamboo (⺮)　固: harden,14,竹,カ,,一箇月,いっかげつ,One month,箇条書き,かじょうがき,Itemization,,,,,,
261,個,Individual,"Individual, Single Unit, General Counter (For Things Or Articles)",Person . . . harden.,,"This keyword gave me trouble, I could write the kanji from memory but could not remember the keyword the other way around. In such case the dictionary definition can be helpful : ""Middle English, single, indivisible"". Here we have Mr. T. who is so hardened (all the body workout he´s had) that he became in-dividual, that is, in-divisible. ""I pity da foo who can be divided into smaller units."".","Mr. T insists that people be individual. He appears on television, saying, ""Being an individual is hard! But you gotta do it! Harden yourself, and be individual!"".",人: human (亻); umbrella (𠆢) (RTK)　固: harden,10,人,"コ, カ*",,個人,こじん,Individual,個性,こせい,Individuality,りんご一個,りんごいっこ,One apple,個室,こしつ,Private room
262,且,Moreover,"As Well As, Moreover, Both … And …",,,"Moreover is a literary term to shelve what you had just been talking about, to come back to it later.","Same as darg_sama. Play on words. I imagine visiting someone who has an impressive collection of medals and trophies (chess champion, for example). After spending an hour showing you all the trophies in the glass shelf, you think ""Whew! It´s over."" ... but the person says ""... and wait, there´s ""moreover"" !"", pointing at more trophies lined atop the glass shelf.",且: moreover; shelf (RTK),5,一,,か.つ,尚且つ,なおかつ,And yet,,,,,,,,,
263,組,Association,"Organize, Assemble",Thread . . . shelf.,,"A common thread associates the knick-knacks on your knick-knack shelf. Souveneirs from Spain on one, from Japan on the other.",Watch this: http://i146.photobucket.com/albums/r249/sith_lord10/updated%20showroom%20july/s29.jpg The leader of the Spiderman association has tons of Spiderman figurines lined up on his shelf.(Zactacular).,糸: thread; Spider-Man (RTK)　且: moreover; shelf (RTK),11,糸,ソ,"く.む, くみ, -ぐみ",組合,くみあい,"Union, guild, association",組成,そせい,"Composition, formation, construction",手を組む,てをくむ,Join hands,組み立てる,くみたてる,"Assemble, erect"
264,夕,Evening,Evening,"Just as the word evening adds a touch of formality or romanticism to the ordinary word ""night,"" so the kanji for evening takes the ordinary looking moon in the night sky and has a cloud pass over it (as we saw in the last frame).",The primitive keeps the same meaning and connotation as the kanji.,"The evening is young, the moon is not full.","In the evening, I try my best to remember the katakana symbol for ""TA"" (ie. ""ta ta!"").",夕: evening,3,夕,セキ,ゆう,今夕,こんせき,"This evening, tonight",夕べ,ゆうべ,Evening,夕方,ゆうがた,Evening,夕食,ゆうしょく,Dinner
265,外,Outside,"Outside; Remove, Come Off","On the left, the primitive for evening, and on the right, that for the magic wand. Now, as every magician worth his abracadabra knows, bringing your magic wand out into the evening air makes your magic much more powerful than if you were to stay indoors. Hence, evening and magic wand takes you naturally outside.",,A young magician likes to practice outside in the evening with his magic wand (as opposed to the old magician who wakes early to practice with his wand in eminent (#51)).,"Outside in the dark of evening, only a magic wand can help you.",夕: evening　卜: divination; magic wand (RTK),5,夕,"ガイ, ゲ","そと, ほか, はず.す, はず.れる",外す,はずす,"Take off, remove; miss, dodge",その外,そのほか,"Besides, in addition; the rest, others",外交,がいこう,"Diplomacy, foreign relations",以外に,いがいに,"Except for, excluding"
266,多,Many,Many; Most,"Many moons ago, begins much of Amerindian folklore - a colorful way of saying ""Once upon a time"" and a great deal of help for remembering this kanji. Here we have two moons&nbsp;(three of them would take us back to the beginning of time, which is further than we want to go), lacking the final stroke because they are partially hidden behind the clouds of time.",,Two evenings too many!,"This reminds me of a childish pseudo-confucion rhyme: ""He who eats many prunes sits on toilet many moons"".",夕: evening　夕: evening,6,夕,タ,おおい,多面,ためん,"Many sides, many phases",多目的,たもくてき,Multipurpose,多くの人,おおくのひと,Most people,多い,おおい,Many
267,汐,Eventide,Evening Tide,"In the next lesson we will meet the character for morning-tide and the element for drops of water. Meantime we have a perfect blend of picture and idea in this kanji to play on the English word for nightfall, eventide: drops of water inching their way up the shore in the evening.",,"Eventide is just another word for evening, and it has the word tide in it which we associate with water.",Drops of water shower the beach as the evening tide approaches: eventide.,水: water (氵) (氺)　夕: evening,,,セキ,しお,汐が満ちる前に,しおがみちるまえに,Before the tide comes in,潮汐,ちょうせき,"Ebb and flow, tide",汐,しお,(evening) tide,,,
268,名,Name,Name; Fame; First-Rate,"Perhaps you have heard of the custom, still preserved in certain African tribes, of a father creeping into the tent or hut of his newborn child on the night of the child's birth, to whisper into its ear the name he has chosen for it, before making his choice public. It is an impressive naming custom and fits in tidily with the way this character is constructed: evening . . . mouth. At evening time, a mouth pronounces the name that will accompany one throughout life.",,"In the evening, when it becomes dark, open your mouth to say your name so that people can recognise you.","In the evening, her sweet mouth whispered my name.",夕: evening　口: mouth,6,口,"メイ, ミョウ","な, -な",名物,めいぶつ,"Specialty, noted product",名前,なまえ,Name,地名,ちめい,Place name,名字,みょうじ,Family name
269,天,Heavens,Heaven; Weather; Nature,"This character is meant to be a pictograph of a great man, said to represent the Lord of the Heavens. (You may, of course, use the elements ceiling and St. Bernard instead.)","The primitive can mean either the heaven of eternal bliss or the general term for sky, the heavens. Pay special attention to the fact that in its primitive form the first stroke is written right to left, rather like the first stroke of thousand (Frame 40), rather than left to right. From the next character, we shall give it the primitive meaning of a witch.","If you think of the sky as a ceiling above our heads, here you have the heavens as the largest ceiling you could ever imagine. As Heisig pointed out, nothing comes above the ceiling primitive thus the order of primitives is taken care of.","The ceiling that all large dogs aspire to go to is known as heaven. After all, All Dogs Go to Heaven.","一: one; ceiling, floor (RTK)　大: large; St Bernard (RTK)",4,大,テン,"あめ, あま-",天の川,あまのがわ,Milky way,天皇,てんのう,Emperor of japan,天文学,てんもんがく,Astronomy,天気,てんき,Weather
270,未,Not yet,Not Yet,"As the key word suggests, this kanji has to do with something not quite over and done with. More concretely, it shows us a tree that is not yet fully grown. The extra short stroke in the upper branches shows new branches spreading out, leaving one with the feeling that the tree has a ways to go yet before it reaches maturity. In other words, the kanji conveys its meaning pictographically, playing on the earlier pictograph of the tree.",,I believe a better version of that by mameha1977: (Cheat] Remember these as a set: The tree (木) does not yet (未) have exremities (末) of vermilion (朱).,(Cheat] Remember these as a set: The tree (木) is not yet (末) vermilion (朱).,未: not yet,5,木,ミ,"いま.だ*, ま.だ*",未だ,まだ,"Undecided, pending",未明,みめい,"Before dawn, dawn",,,,,,
271,末,Extremity,"Last Part, End","This character is best learned in connection with that of the previous frame. The first stroke shows a branch that is longer than the main branch, indicating that the tree has reached the extremity of its growth, so that its branches stop spreading and start drooping downwards. Be sure to keep this imagery in mind, to avoid confusing this key word with synonyms that will appear later.",,"The tree has reached the extremity of its growth and no longer produces small, new branches at the top. Instead the existing top branch just grows longer and longer.","There are no great stories for this one yet, and I always forget it.. So, let´s try something ridiculous: The man lived by himself in the wilderness, with no females within miles. So, his only way of relief was to stick his extremity into a small hole in a tree.. The poor guy. Which horizontal stroke is the extremity? The longer one or the shorter one? That, my friends, is up to your own imaginations. I´d prefer not to dwell on that point, myself. ;).",末: extremity,5,木,"マツ, バツ",すえ,三月の末,さんがつのすえ,End of march,週末,しゅうまつ,Weekend,月末,げつまつ,End of the month,年末,ねんまつ,Year-end
272,味,Flavor,"Taste, Flavor; Contents","When a tree has not yet finished growing, it produces fruit with a full flavor. When the official taster (the professional mouth to the left) determines that full flavor has been reached, the tree is pruned back so that it remains permanently not yet grown. A neat little agricultural trick and an easy to way see the sense of flavor hidden in this character.",,My mouth has not yet swallowed the food because the flavor is so delicious that I keep chewing it.,"To enjoy a food´s FLAVOR, it must be in one´s MOUTH but NOT YET swallowed.",口: mouth　未: not yet,8,口,ミ,"あじ, あじ.わう",味わう,あじわう,"To taste, savor; appreciate, enjoy",地味な,じみな,"Plain, sober, unpretentious",後味,あとあじ,Aftertaste,味,あじ,Taste
273,来,Come,Come,This odd but common kanji is built up of the character for not yet into which a pair of animal horns has been inserted.,,"You horny bastard, don´t come, at least not yet!","Here I see, of all things, Bambi. His animal horns have not yet come out. (As we can see in the kanji, the animal horns are not at the top, not ""poking through"". ) Remember: Bambi will soon come to have a great set of animal horns but they have not yet come out.","一: one; ceiling, floor (RTK)　米: rice",7,人,ライ,"く.る, きた.る, きた.す",来月,らいげつ,"Next month, this coming month",外来語,がいらいご,"Loanword, foreign word",来る,くる,To come,来ます,きます,To come
274,新,New,New,Red pepper . . . ax.,,"Don't confuse left primitive with catalpa (#1498). Every time the farmer cuts down the peppers from the red pepper plant, he has to use a brand new axe. This is because the spicy peppers cause the metal to erode very quickly, thereby rendering the axe completely useless.","Axe-man grows a patch of red pepper plants in his back garden. He rubs red peppers on the edge of his axes, and this seems to keep them sharp like brand new.",立: stand up; vase (RTK)　木: tree; wood　斤: axe,13,斤,シン,"あたら.しい, あら.た, あら-, にい-",新たに,あらたに,"Newly, afresh; again",新人,しんじん,"New talent, rookie; newcomer",新年,しんねん,New year,最新の,さいしんの,"Newest, latest"
275,親,Parent,"Parent, Relatives, Intimate, Friendly",Red pepper . . . see.,,"A wise parent lets their kids learn. A kid wants to try to eat the red pepper plant, the wise parent says ""Try it and see for yourself"".",I remember this one the way the Japanese do: a parent standing on top of a tree watching what his or her kid is doing.,立: stand up; vase (RTK)　木: tree; wood　見: see,16,見,シン,"おや, おや-, した.しい, した.しむ",親子,おやこ,Parent and child,肉親,にくしん,Blood relations,父親,ちちおや,Father,親切な,しんせつな,Kind
